I have been made aware that some of the information is not up-to-date. When this spreadsheet was in development, multiple major balancing updates came around and it was difficult to keep track of them. The affected cards will be updated soon. Thank you for understanding.												
Album	Collection	Name	Rarity	Energy Cost	Power	Power per Energy	Type	Ability	Card Model Number	CUE Card Release Schedule		
Oceans and Seas	Cephalopods	Mimic Octopus	Legendary	8	88	11.0	Limited Card	Sucker Punch - When played, if you lose the turn, steal 4 Energy from your Opponent.		Day	Release	
	Crustaceans	Red-Spotted Box Crab	Common	3	28	9.3	Limited Card	In a Pinch - When drawn, if you are losing the round, this card costs 2 less Energy this turn.		Monday	Cards for next week's League	
		Emperor Shrimp	Rare	4	64	16.0	Limited Card	Scuttle By - When returned to your deck, your Opponent gains 1 Energy.		Tuesday	New Limited card	
		Ecuadorian Hermit Crab	Common	7	62	8.9	Limited Card			Wednesday	New cards from a current Limited Collection	
		Horned Ghost Crab	Common	1	9	9.0	Limited Card			Thursday	Limited Collection from a previous week	
		Spiny Lobster	Common	2	19	9.5	Limited Card			Friday	New Fusion card	
		Porcelain Crab	Common	8	69	8.6	Limited Card	Delicate Situation - When played on a matching Arena, this card has +20 Power.		Saturday	New cards from a current Basic collection	
		Japanese Spider Crab	Legendary	3	37	12.3	Limited Card	I'll Pinch That… - When drawn, steal 1 Energy from your Opponent.		Sunday	New Limited card	
	Deep Ocean	Weedy Sea Dragon	Rare	2	18	9.0		Dragon Your Heels - When played, if you are losing the round, this card has +25 Power.				
		Painted Frogfish	Common	4	32	8.0						
		Longnose Hawkfish	Common	7	55	7.9						
		Hairy Frogfish	Common	5	0	0.0		Hair Today… - When drawn, this card has +60 Power this turn.				
		Fangtooth Moray	Epic	3	29	9.7		That's a Moray… - When drawn, give The Moon +60 Power until played.				
		Napoleon Fish	Epic	2	0	0.0	Limited Card	Napoleon Complex - When played, this has +50 Power if you are winning the round.				
		Stingray	Legendary	2	28	14.0	Fusion Ingredient	Standby for ACTION! - When played, your cards have +18 Power this turn.				
		Japanese Sea Nettle	Common	3	26	8.7	Fusion Ingredient					
		Giant Isopod	Rare	8	72	9.0	Fusion Ingredient	Bug Out - When played, if you lose the turn, gain +3 Energy.				
		Falco Hawkfish	Fusion	6	65	10.8		Hawk-ward… - When played, your Sea Birds cards have +30 Power this turn.				
	Fish	Blue Marlin	Common	4	34	8.5						
		Bluefin Tuna	Common	1	8	8.0	Fusion Ingredient					
		Great Barracuda	Common	1	14	14.0		Water Sprinter - The Great Barracuda can't hold pace for long. Lose 1 Energy the turn after it's played.				
		Sun Fish	Common	6	53	8.8	Fusion Ingredient					
		Lion Fish	Common	4	33	8.3						
		Scorpion Fish	Rare	7	60	8.6		Spiked! - When played, your venom drains 1 Energy per turn from your Opponent until the end of this Round.				
		Sailfish	Common	5	48	9.6	Fusion Ingredient					
		Clown Fish	Epic	4	32	8.0		Finding Marlin - If you're holding Blue Marlin when you draw this, give it +25 Power for the rest of the Game.				
		Yellow Tang	Common	3	28	9.3						
		Firefish Goby	Rare	4	28	7.0		Friendly Fish - Fire Goby provides other Fish cards with +10 Power when played.				
		Anthias	Common	7	59	8.4						
		Copperband Butterflyfish	Legendary	9	77	8.6	Fusion Ingredient	Picky Eater - Gain 2 Energy when this card returns to your deck.				
		Oriental Flying Gurnard	Common	6	55	9.2						
		Queen Angelfish	Fusion	5	35	7.0		Something's Fishy - Your Oceans and Seas cards cost 5 Energy less in the turn you draw this.				
		Puffer Fish	Common	3	17	5.7						
		Diamond Tetra	Epic	5	10	0.0		Diamonds Are Forever - When this card returns to your deck, gain +10 Power per turn for the rest of the game.				
	Ocean Mammals	Sea Otter	Common	7	58	8.3						
		Polar Bear	Epic	7	60	8.6		Bite Force - If winning the round, the largest land carnivore gives +10 Power when played.				
		Elephant Seal	Common	8	71	8.9						
		Bottlenose Dolphin	Rare	7	52	7.4	Fusion Ingredient	Kings of Communication - Advance the cause of Ocean Mammals by reducing the Energy cost of others in your hand by 2 (when drawn).				
		Beluga Whale	Common	2	17	8.5		Walesong - With sounds travelling 100 miles, whalesong lifts all Oceans and Seas cards with +10 Power when played.				
		Leopard Seal	Common	5	36	7.2						
		Sperm Whale	Rare	1	5	5.0	Fusion Ingredient	Back from the Brink - If you are losing the round when this is returns to your deck, gain +4 Energy.				
		Spotted Dolphin	Common	8	68	8.5						
		Orca	Legendary	6	54	9.0	Fusion Ingredient	All Killer - Oceans and Seas cards for both players take -20 Power on the turn this is played.				
		West Indian Manatee	Common	4	35	8.8						
		Pilot Whale	Common	3	26	8.7						
		Sea Lion	Common	10	84	8.4						
		Atlantic Walrus	Common	3	24	8.0						
		Dugong	Common	6	54	9.0		Mermaid's Lure - When drawn, Ancient Greece cards in play require 2 less energy.				
		Humpback Whale	Fusion	7	60	15.0		Mighty Flipper - With flippers this large, swimming is easy. Get 3 Energy back when played.				
		Vaquita	Rare	5	48	9.6		Act with Porpoise - When played on the first turn of a Round, this card had +20 Power.				
		Amazon River Dolphin	Rare	2	18	9.0		Think Pink! - When played with Flamingos, give that card +50 Power.				
		Spinner Dolphin	Epic	8	59	7.4	Limited Card	Spear from the Sea - When this card returns to your deck, steal 3 Energy from your opponent.				
		Pacific Walrus	Legendary	7	40	5.7		Up to the Tusk? - When this returns to your deck, if you won this turn, gain +100 Power next turn.				
		Harp Seal	Epic	3	27	9.0		Plucky - When this returns to your deck, if you win the turn, gain +2 Energy next turn.				
	Ocean Reptiles	Banded Sea Krait	Rare	6	55	9.2		Serpent-up Frustration - When played with Bushmaster, give that card +30 Power.				
		Galapagos Marine Iguana	Common	2	17	8.5		Avian Symbiosis - When played, your Birds cards have +15 Power.				
		Saltwater Crocodile	Common	1	8	8.0		Salty? - When played with Sodium, give that card +25 Power.				
		Olive Ridley Sea Turtle	Rare	5	45	9.0		Hero in a Half Shell - When played, your Ocean Reptiles cards have +20 Power this turn.				
	Oceans & Seas Holiday Specials	Turtle Dove	Epic	2	16	8.0	Limited Card					
		Geese	Epic	3	24	8.0	Limited Card					
		Swans	Epic	4	38	9.5	Limited Card					
		Horn Shark Egg	Epic	6	57	9.5	Fusion Ingredient	Eggs in One Basket - If you play this with Dinosaur Eggs, give it +40 Power.				
	Oceans and Seas Mythic Cards	Kraken	Mythic	6	50	8.3		Terror from the Deep - When you play this, your Oceans and Seas cards have +40 Power.				
	Oceans & Seas Special Fusions	Crown-of-Thorns Starfish	Fusion	6	90	15.0		Heavy is the Head - When played, if you are winning the round, this card has -50 Power.				
	Riding the Waves!	RMS Lusitania	Common	4	34	8.5	Fusion Ingredient					
		Titanic	Legendary	4	36	9.0		Unsinkable? - All Riding the Waves cards (including this) played this turn have +30 Power.				
		HMS Victory	Rare	7	42	6.0	Limited Card	Victory Formation - If you win a turn you played this card in, game +3 Energy.				
		Fram	Common	4	32	8.0		Break the Ice - If played on the first Turn of a Round, this has +15 Power.				
		The Mayflower	Rare	6	67	11.2						
		The Golden Hinde	Epic	5	29	5.8		Drake's Fortune - If you win a turn this was played on, gain +10 Power per Turn for the rest of the game.				
		Pioneering Spirit	Fusion	7	54	7.7		Oil Be There For You - If you play this alongside Offshore Oil Platform, give it +70 Power.				
		Santa Maria	Common	7	45	6.4	Fusion Ingredient					
		Mary Celeste	Rare	5	70	14.0	Limited Card	Abandon Ship? - If you are losing the round, this card has 0 base power.				
		Nao Victoria	Rare	6	58	9.7		Circumnavigate the Planets - Any Solar System cards you play alongside this have +18 Power.				
		USS Constitution	Epic	5	37	7.4	Fusion Ingredient	 Messages from Outer Space - When drawn, your Space Technology cards have +15 Power until played.        				
		Leif Erikson	Legendary	3	28	9.3	Limited Card	Turn over a new Leif - When drawn, if you are losing the round, gain +4 Energy.				
	Sea Birds	Cormorant	Common	1	9	9.0		Hold your Breath - When returned to your deck, gain +9 Power next turn. (Note, this applies for 2 turns)				
		Chinstrap Penguin	Common	5	46	9.2		Penguin Suit - When played with Yellow-eyed Penguin, give that card +20 Power.				
		Sooty Terns	Common	4	34	8.5						
		Puffin	Rare	5	49	9.8	Limited Card	Sea Parrot -  When played, your Oceans and Seas cards have +10 Power this turn.				
		Brown Pelican	Common	6	51	8.5						
		Albatross	Epic	5	40	8.0		Bad Omens... - When played, your Opponent's cards have -10 Power for this turn and next turn.				
		Gannets	Rare	3	30	10.0	Limited Card	Swoop Dive - When played, your Sea Birds card have +20 Power this turn.				
		Macaroni Penguin	Common	2	18	9.0		Penguin Suit - When played with Yellow-eyed Penguin, give that card +20 Power.				
		Ring-Billed Gull	Common	3	28	9.3		Ring-a-Ding-Ding! - When played with Saturn, give that card +15 Power.				
		Pacific Gull	Common	5	45	9.0						
		Blue-Footed Booby	Rare	7	45	6.4		Don't You Step On My Blue Webbed Toes - When played, your Oceans and Seas cards have +5 Power this turn and next.				
		Royal Penguin	Fusion	5	57	11.4		By Royal Decree - When played, your Mad Monarchs have +50 Power this turn.				
		Tropicbird	Legendary	6	40	6.7	Limited Card	Tropic Thunder - When drawn, your Forces of Nature cards cost 4 less Energy until played.				
		Yellow-eyed Penguin	Epic	2	32	16.0		Bird-Brained Scheme - When played, your Sea Birds cards have +20 Power this turn.				
		Frigatebird	Common	7	62	8.9						
		Parastic Jaeger	Legendary	5	60	12.0		Jaeger Bomb - When returned to your deck, if you lost this turn, your Opponent has -30 Power per turn for the rest of the Round.	OBI020			
		Black Guillemot	Common	4	37	9.3		Volcanic Settler - When played with Volcanic Eruption, give it +50 Power.	OBI018			
		Wilson's Storm Petrel	Common	3	26	8.7		Storm Front - When drawn, give your Forces of Nature cards +25 Power until played.	OBI016			
		Crested Auklet	Epic	6	59	9.8	Fusion Ingredient	Fringe Science - When played, your Science cards with less than 20 Base Power have +30 Power this turn.	OBI019			
		Rockhopper Penguin	Rare	7	40	5.7	Fusion Ingredient	Rocksteady - When returned to your deck, you have +40 Power next turn.				
	Sharks!	Hammerhead Shark	Legendary	9	83	9.2	Level-Up Reward	Vision of a Hunter - When played, your Opponent's card have -2 Power until game end.				
		Whale Shark	Common	5	35	7.0		Open Wide - When returned to your deck, gain +2 Energy.				
		Bull Shark	Common	3	25	8.3						
		Sand Tiger Shark	Common	1	10	10.0	Fusion Ingredient					
		Blue Shark	Rare	8	62	7.8		Full to Bursting - When returned to your deck, gain +1 Energy.				
		Wobbegong	Common	3	20	6.7						
		Basking Shark	Common	5	43	8.6						
		Nurse Shark	Rare	10	73	7.3	Fusion Ingredient	R & R - While in your hand, recieve +1 Energy/Turn.				
		Sandbar Shark	Common	4	33	8.3						
		Mako Shark	Epic	5	42	8.4	Fusion Ingredient	Outpace - When played, your Opponent's Oceans and Seas Cards have -10 Power this turn.				
		Gray Reef Shark	Common	7	59	8.4						
		Caribbean Reef Shark	Common	5	49	9.8						
		Carpenter Shark	Common	7	64	9.1						
		Angelshark	Common	3	25	8.3						
		Great White Shark	Fusion	8	83	10.4		 Get a Bigger Boat! - When played, your Opponents Riding The Waves cards have -100 Power until game end.				
Space	Amazing Astronauts								SAS001			
									SAS002			
									SAS003			
									SAS004			
		Valentina Tereshkova	Legendary	4	40	10.0	Limited Card	Pushing the Boundary - When drawn, give your Space cards +25 Power this turn.	SAS005			
									SAS006			
									SAS007			
									SAS008			
		Jim Lovell	Common	6	80	13.3	Limited Card	Houston, We Have a Problem... - When returned to your deck, if you are losing the round, give all cards remaining in your hand -20 Power next turn.	SAS009			
		Alan B. Shepard Jr.	Common	2	18	9.0	Limited Card	FORE! - When played on the first turn of a round, this card has +18 Power.	SAS010			
						#DIV/0!			SAS011			
						#DIV/0!			SAS012			
						#DIV/0!			SAS013			
						#DIV/0!			SAS014			
						#DIV/0!			SAS015			
		Neil Armstrong	Legendary	7	69	9.9	Limited Card	One Giant Leap - When drawn, give Apollo 11 +50 Power for the rest of the game.				
		Buzz Aldrin	Epic	7	69	9.9	Limited Card	Magnificent Desolation - When played alongside The Moon, give it +50 Power.	SAS016			
	Constellations	Boötes	Common	9	63	7.0						
		Hercules	Epic	8	70	8.8		 Greece Lightning - When played, give Ancient Greece cards +15 Power this turn.				
		Ursa Minor	Common	9	54	6.0	Fusion Ingredient					
		Grus	Common	4	36	9.0						
		Draco	Common	9	62	6.9						
		Cepheus	Common	4	26	6.5						
		Cassiopoeia	Common	9	44	4.9		 Heart and Soul - When drawn, gain +4 Energy.				
		Perseus	Rare	5	43	8.6		 Meteor Shower - When played with Asteroids, give that card +10 Power.				
		Pegasus	Common	3	18	6.0						
		Lepus	Rare	4	35	8.8	Fusion Ingredient	Bad Hare Day - When played with Canis Major, give that card +20 Power. 				
		Centaurus	Common	4	37	9.3						
		Canis Major	Legendary	3	33	11.0		 Dog Star - When returned to your deck, give all Dogs cards +10 Power until game end.				
		Lupus	Common	3	24	8.0		 Hungry Like The Wolf - When played, give Dogs cards +10 Power this turn				
		Phoenix	Common	9	61	6.8	Fusion Ingredient					
		Ursa Major	Fusion	3	35	11.7		 The Bear Necessities - When played with Ursa Minor, give that card +40 Power.				
	Exploring the Stars	Kepler-186f	Common	5	37	7.4	Limited Card					
		TrES-2b	Epic	4	38	9.5	Limited Card	 Absorb the Light - When played with Sunshine, this card has +41 Power.				
		51 Pegasi b	Common	3	28	9.3	Limited Card	 Cutting it Close - When played, if you're losing the round, your cards have +13 Power this turn				
		TRAPPIST-1	Rare	7	57	8.1	Limited Card	 IT'S A TRAP(PIST-1) - When played, get +10 Power/Turn until the end of this round.				
		Andromeda	Legendary	9	88	9.8	Limited Card	 Time For a Galaxy Brain Play - When drawn, your Space cards cost 3 less Energy this turn.				
		Kepler-16b	Common	6	38	6.3	Limited Card					
		Gliese 581c	Common	6	41	6.8	Limited Card					
		GJ 504 b	Common	5	48	9.6	Limited Card					
		Ophiuchus Galaxy Explosion	Rare	5	39	7.8	Limited Card	 Burst of Energy - When drawn, gain +3 Energy.				
		Ross 128	Common	2	17	8.5	Limited Card					
		Witch Head Nebula	Common	3	24	8.0	Limited Card	 Cackle - When played, get +1 Energy/Turn until the end of this round.				
		Brown Dwarf	Common	5	35	7.0	Limited Card					
		Helix Nebula	Common	8	59	7.4	Limited Card					
		Crab Nebula	Common	5	56	11.2	Limited Card					
		Pillars of Creation	Legendary	4	38	9.5	Limited Card	 Guiding Hand - When drawn, if you are losing the round, gain +7 Energy.				
		CoRoT-7b	Epic	5	48	9.6	Limited Card	Orbital Velocity - When drawn, this card has +40 Power this turn.				
	Forces of the Universe	Asteroids	Common	10	66	6.6	Fusion Ingredient					
		Aquila Alcohol Cloud	Common	10	72	7.2						
		Barringer Crater	Common	3	28	9.3						
		Glactic Collision	Rare	7	63	9.0		 When (Several Hundred Thousand) Worlds Collide - When played, your Solar System cards have +15 Power this turn.				
		Hercules-Cocrona Borealis Great Wall	Legendary	7	40	5.7		 Mighty Space Object - When played, your Space cards have +15 Power this turn.				
		King Tide	Common	5	32	6.4						
		The Sombrero Galaxy	Common	4	28	7.0	Fusion Ingredient					
		VY Canis Majoris	Epic	5	41	8.2		 Hypergiant - When played, your Forces of the Universe cards have +15 Power this turn.				
		The Big Bang	Rare	7	17	2.4		 The Very Beginning - When played, gain +1 Energy/Turn until game end.				
		Eskimo Nebula	Common	10	70	7.0	Fusion Ingredient					
		Magnetar	Common	9	0	0.0		 Magnetise! - When played, your cards have +30 Power this turn.				
		Betelgeuse	Common	1	6	6.0	Fusion Ingredient	 Make My Millennium - When played, your Forces of the Universe cards have +5 Power this turn.				
		Hawking Radiation	Common	2	19	9.5						
		The Fifth Force	Common	5	45	9.0						
		Dark Matter	Fusion	4	65	16.3		 Hello Darkness - When played, all cards have -20 Power this turn.				
	Nebulae	Elephant's Trunk Nebula	Common	3	24	8.0						
		Jellyfish Nebula	Rare	3	28	9.3	Limited	 Throw a Wobbly - When played, if you lose the turn, your Opponent has -20 Power next turn.				
		Ring Nebula	Rare	1	12	12.0	Limited	 Nice Ring to It - When played with Rings of Saturn give that card +50 Power.				
		Lagoon Nebula	Rare	4	25	6.3	Fusion Ingredient	Bright Spark - When drawn, this card has +25 Power this turn.				
		Carina Nebula	Rare	4	38	9.5						
		Eagle Nebula	Common	6	45	7.5	Fusion Ingredient					
		Omega Nebula	Legendary	3	24	8.0	Fusion Ingredient	Swan Song - When played with Swans, give that card +65 Power.				
		Heart Nebula	Common	4	30	7.5		Heart and Soul - When played with Soul Nebula, give that card +30 Power.				
		Soul Nebula	Common	5	40	8.0		Heart and Soul - When played with Heart Nebula, give that card +30 Power.				
		Crescent Nebula	Common	6	67	11.2						
		Dumbell Nebula	Rare	2	28	14.0	Limited	Weight A Second - When played with Weight, this card gains +28 Power.				
		Wizard Nebula	Epic	4	25	6.3		Put A Spell On You - When returned to your deck, if you are losing the round, steal 2 Energy from your Opponent.				
		Orion Nebula	Epic	3	28	9.3	Limited	Star Factory - When played, gain +3 Energy next turn.				
		Rosette Nebula	Common	3	27	9.0		Consolation Prize - When played, if you lose the turn, you have +40 Power next turn.				
		The Hand of God Nebula	Fusion	6	50	8.3		Backhanded Compliment - When returned to your deck, your Opponent has -50 Power next turn.				
		Horsehead Nebula	Epic	7	64	9.1	Fusion Ingredient	The Last Woltz - When you play this, it gains +50 Power if you're losing the Round.				
	Space Holiday Specials	Rings of Saturn	Epic	8	69	8.6	Limited					
		Christmas Tree Cluster	Epic	3	31	10.3	Limited					
		Polaris	Epic	1	13	13.0	Limited					
		Egg Nebula	Epic	4	38	9.5	Fusion Ingredient	Eggs In One Basket - When played with Horn Shark Egg, give that card +40 Power.				
	Space Mythic Cards	Laika	Mythic	8	84	10.5		Spaceman's Best Friend - When played, your Amazing Astronaunts cards have +70 Power until played.				
		Area 51	Mythic	5	51	10.2		CLASSIFIED - When played, your Solar System cards have +50 Power this turn.				
	Space Oddities	Shifting Solar Plasma	Common	10	72	7.2						
		Black Hole	Common	1	8	8.0		 Rend Galaxies - When played with Opiuchus Galaxy Explosion, give that card +30 Power.				
		Gigantic Wave in Perseus	Legendary	5	25	5.0	Fusion Ingredient	 Energy Through Time - When played, if you win this turn, get +1 Energy/Turn until game end.				
		Virgo Spiral Galaxy	Common	6	45	7.5	Fusion Ingredient					
		Dying Star	Common	1	10	10.0	Fusion Ingredient					
		Solar Golden Arches	Common	6	43	7.2						
		Runaway Star	Common	7	72	10.3		 Cosmic Breakup - When played, all Space cards have -20 Power this turn.				
		Neutrom Star Collection	Common	5	43	8.6		 Mass Energy Event - When played, both players receive +5 Energy.				
		The Milky Way	Common	6	49	8.2						
		'Oumuamua	Common	9	64	7.1						
		Mira	Rare	1	40	40.0		 Dying Star - When returned to your deck, you have -4 Energy next turn.        				
		Quasar	Rare	1	11	11.0	Fusion Ingredient	 Outshine - When played, all cards have -10 power this turn. 				
		Carina Nebula Landscape	Epic	8	80	10.0		 Star Factory - When returned to your deck, you have -2 Energy next turn. 				
		The Veil Nebula	Fusion	7	35	5.0		 Son of a Supernova - When returned to your deck, get +10 Power/Turn until game end. 				
		Eta Carinae	Rare	10	60	6.0		 Star Survivor - When returned to your deck, get +5 Energy next turn. 				
	Space Special Fusions	Solar Flare	Fusion	5	45	9.0		Sick Burn - When this card returns to your deck, your opponent has -2 Energy/Turn for the next two turns. 				
	Space Technology	Space Shuttle Discovery	Common	2	20	10.0						
		Hubble Space Telescope	Rare	7	40	5.7		 Long Distance Vision - When played, gain +2 Power/Turn until the end of the Game. 				
		Mars Rover Curiosity	Common	1	8	8.0		 Messages from Outer Space - When drawn, yourSpace Technology cards have +15 Power until played.        				
		Juno	Common	2	17	8.5						
		Luna 1	Rare	10	77	7.7		 Leaving Gravity - When played, your Science cards have +10 power until played.        				
		Skylab	Common	10	63	6.3						
		Mir	Epic	6	36	6.0		 Surviving in Space - When returned to your deck, receive +10 Power/Turn for the rest of this round.        				
		Mercury-Atlas 6	Common	6	46	7.7						
		Telstar 1	Common	4	28	7.0						
		Apollo 11	Fusion	6	45	7.5		 Man on the Moon - When played, your Solar System cards have +30 Power until played. 				
		Lunar Module 'Eagle'	Common	4	36	9.0	Fusion Ingredient	The Eagle Has Landed - When returned to your deck, give Apollo 11 +36 Power until it is played.				
		Command Module 'Columbia'	Common	2	18	9.0	Fusion Ingredient	Splashdown! - When returned to your deck, give Apollo 11 +18 Power until it is played.				
		Saturn V	Common	3	25	8.3	Fusion Ingredient	 Power Behind Progress - When played with Lunar Module 'Eagle', give that card +20 Power.        				
		Sputnik I	Legendary	8	70	8.8	Level-Up Reward	 Starting the Space Race - When played, your Opponent's Space cards have -10 Power this turn.        				
		The Very Large Array	Common	9	61	6.8						
		International Space Station	Legendary	3	10	3.3	Limited Card	International Cooperation - When played, all Space cards in play have +20 Power.				
	The Solar System	Mercury	Common	1	9	9.0						
		Saturn	Common	6	43	7.2		 Saturn and Titan - When played with Titan, give that card +20 Power.        				
		Uranus	Common	7	52	7.4		 God of the Sky - While in your hand, your Force of Nature cards have +7 Power.        				
		Jupiter	Epic	3	25	8.3	Fusion Ingredient	 Eye of the Red Spot - When drawn, receive +2 Energy/Turn until end of the round. 				
		Earth	Legendary	3	25	8.3	Fusion Ingredient	 Home Advantage - When drawn, receive +3 Energy. 				
		Mars	Rare	4	21	5.3	Fusion Ingredient	 Mars Attack! - When played, your Opponent has -1 Energy/Turn for the rest of the round. 				
		Venus	Common	2	17	8.5						
		Pluto, Dwarf Planet	Common	8	57	7.1						
		Neptune	Common	7	48	6.9						
		The Sun	Fusion	10	30	3.0		 Bright Idea - When played, gain +2 Energy/Turn until game end. 				
		Titan, Moon of Saturn	Common	9	66	7.3						
		Solar Eclipse	Common	3	26	8.7						
		Ceres	Common	6	36	6.0						
		The Moon	Rare	3	27	9.0		 Ruler of the Tide - When drawn, your Oceans and Seas cards in hand have +4 Power for the rest of the game.        				
		Halley's Comet	Common	8	58	7.3						
	Watching the Skies	Mauna Kea Observatory	Rare	5	45	9.0	Limited Card	Observe and Report - When played on a matching arena, this card has +45 Power.				
Life on Land	Amphibians	European Tree Frog	Common	3	28	9.3						
		African Bullfrog	Common	9	67	7.4						
		Spotted Salamander	Epic	2	11	5.5		 Immune to Fire? - When played, your Opponent loses -2 Energy. 				
		Poison Dart Frog	Rare	1	9	9.0	Fusion Ingredient	 Toxicity - When played, your Opponent's cards have -5 Power this turn. 				
		Tiger Salamander	Common	4	36	9.0						
		Cave Salamander	Common	6	54	9.0						
		Panamanian Golden Frog	Rare	4	21	5.3		 Poisoned Skin - When played, if you lose the turn, your opponent loses -4 Energy. 				
		Marbled Newt	Legendary	8	73	9.1	Fusion Ingredient	 Written in the Stars - When played, all Constellation cards have +20 Power until game end. 				
		Smoky Jungle Frog	Common	5	43	8.6						
		Long-Toed Salamander	Common	3	26	8.7						
