I have been made aware that some of the information is not up-to-date. When this spreadsheet was in development, multiple major balancing updates came around and it was difficult to keep track of them. The affected cards will be updated soon. Thank you for understanding.												
		Great Crested Newt	Common	10	71	7.1	Fusion Ingredient					
		Red-Eyed Tree Frog	Common	4	24	6.0		 Death Glare - When played, your Opponent's Life on Land cards have -10 Power this turn. 				
		Matamata Turtle	Common	4	27	6.8						
		Mossy Frog	Common	3	24	8.0	Fusion Ingredient					
		Axolotl	Fusion	3	20	6.7		 Regeneration - When returned to your deck, gain +4 Energy. 				
	Beautiful Butterflies	Peacock Butterfly	Legendary	5	35	7.0		Butterfly Effect - When played, your Beautiful Butterflies cards have +10 Power for the rest of the game. 				
		White Morpho Butterfly	Common	3	26	8.7		It's Morpho Time! - When drawn, both players gain +1 Energy. 				
		Glasswing Butterfly	Epic	3	40	13.3	Limited Card	Fr-Agility - When played, if you lose the turn, you have -15 Power next turn. 				
		Amber Phantom Butterfly	Rare	4	36	9.0		The Phanom Menace - When played on a matching Arena, steal 2 Energy from your opponent when it returns to your deck. 				
		Emerald Swallowtail Butterfly	Common	5	56	11.2		Green With Envy - When played, all cards have -10 Power this turn. 				
		Brown Hairstreak	Common	7	60	8.6		Hot Streak - When drawn, if you are winning the round, this card has +20 Power until played. 				
		Painted Lady	Common	4	35	8.8		Pretty as a Picture - When this card returns to your deck, if you are winning the round, gain +20 Power next turn. 				
		Zebra Longwing	Common	3	17	5.7		Rapid Reproduction - When played, if it is the first turn of a round, gain +17 Power. 				
		Anna's Eighty-Eight	Rare	6	44	7.3		The Crazy 88 - When drawn, this card has +44 Power this turn. 				
		Monarch Butterfly	Epic	3	28	9.3		King Me - When played with Henry VIII, give it +70 Power. 				
	Birds	Boat-Billed Heron	Common	8	59	7.4	Fusion Ingredient					
		Collared Aracari	Common	3	24	8.0						
		Crowned Woodnymph	Common	6	43	7.2						
		Golden Pheasant	Rare	10	79	7.9		 Detect Threat - When returned to your deck, gain +3 Energy. 				
		Knobbed Hornbill	Common	6	56	9.3	Fusion Ingredient					
		Flamingos	Common	8	46	5.8		 Tickled Pink - When returned to your deck, gain +3 Energy. 				
		Peacock	Epic	5	35	7.0		 Strut Your Stuff - When played, your Opponent's cards have -10 Power this turn. 				
		Montezuma Oropendola	Common	2	17	8.5						
		Rainbow Lorikeet	Rare	10	73	7.3	Fusion Ingredient	 Streuth! - When played, your Birds cards have +10 Power this turn. 				
		Red-Necked Tanager	Common	7	54	7.7						
		Griffon Vulture	Common	9	56	6.2		 Hunted Down - When played, your Opponent's cards have -2 Power this turn. 				
		Toucan	Legendary	8	64	8.0		 Toucan Play That Game - When played, if you lose the turn, gain +5 Energy.        				
		Kingfisher	Common	8	63	7.9	Fusion Ingredient					
		Cock-of-the-Rock	Common	6	41	6.8	Fusion Ingredient					
		Bald Eagle	Fusion	10	70	7.0		Land of the (nearly) Free (energy cost - When drawn, your Life on Land cards cost 3 less Energy until played.        				
	Bugs	Scarab Beetle	Common	3	25	8.3		Sacred Scarab - When played, your Ancient Egypt cards have +10 power this turn. 				
		Leaf Insect	Common	4	37	9.3						
		Forest Giant Owl Butterfly	Common	9	62	6.9						
		Jewel Beetle	Common	2	16	8.0	Fusion Ingredient					
		Bush Cricket	Common	4	28	7.0						
		Treehopper	Common	8	57	7.1	Fusion Ingredient					
		Thick-Headed Fly	Common	4	37	9.3						
		Green Lynx Spider	Rare	6	47	7.8	Fusion Ingredient	Pretty Green - When played on a matching Arena, this card has +30 Power. 				
		Bullet Ant	Rare	9	60	6.7	Limited Card					
		Cockroach	Rare	7	52	7.4		Survivor - When played, if you lose the turn, gain +4 energy. 				
		Dragonfly	Legendary	8	72	9.0		Incessant Buzzing - When played, if you lose the turn, gain +1 Energy/Turn until game end. 				
		Hercules Beetle	Common	4	34	8.5		Pincer Movement - When played, if you lose the turn, gain +10 Power next turn. 				
		Asian Giant Hornet	Epic	7	66	9.4	Limited Card	The Big Sting - When returned to your deck, your Opponent has -3 Energy.        				
		Army Ant	Common	8	46	5.8	Fusion Ingredient					
		Scorpion Fly	Fusion	4	42	10.5		Sting in the Tail - When returned to your deck, steal 4 energy from your Opponent. 				
	Cool Cats	Cheetah	Legendary	3	50	16.7	Limited Card					
		Ocelot	Common	8	55	6.9	Limited Card					
		Serval	Common	9	64	7.1	Limited Card					
		Florida Panther	Common	4	23	5.8	Limited Card					
		Bengal Tiger	Rare	3	26	8.7	Limited Card	Shere Power - When drawn, if you are losing this round, your Cool Cat cards have +10 power this turn. 				
		Snow Leopard	Common	10	68	6.8	Limited Card					
		Cougar	Common	4	17	4.3	Limited Card					
		Lion	Epic	4	33	8.3	Limited Card	Everything the Light Touches - When played with Sunshine, give it +40 Power. 				
		Leopard	Common	4	24	6.0	Limited Card	Spot Check - When drawn, if you are losing this round, gain +10 Power. 				
		Caracal	Common	1	11	11.0	Limited Card					
		Sumatran Tiger	Rare	5	38	7.6	Limited Card	Not Extinct Yet - When drawn, if you are losing this round, gain +3 Energy. 				
		Jaguar	Common	3	36	12.0	Limited Card	DUUUVAL! - When drawn, if you are losing this round, gain +1 Energy. 				
		Bobcat	Epic	2	15	7.5	Limited Card	Wildcat Formation - When drawn, your Cool Cats cards have +14 Power until played.				
		Eurasian Lynx	Common	3	26	8.7	Limited Card					
		Rusty-Spotted Cat	Common	2	17	8.5	Limited Card					
	Dogs	Pug	Common	1	8	8.0						
		Labrador Retriever	Common	3	24	8.0						
		English Bulldog	Rare	6	46	7.7		 Born to Fight - When returned to your deck, receive +5 Power/Turn for the rest of this round. 				
		Serbian Husky	Epic	1	6	6.0	Fusion Ingredient	 Untiring - When played, receive +1 Energy/Turn for the rest of this round. 				
		Bloodhound	Common	10	65	6.5	Fusion Ingredient					
		Irish Water Spaniel	Common	2	17	8.5						
		Dachshund	Common	6	44	7.3						
		German Shepard	Legendary	5	47	9.4	Level-Up Reward	 Willing to Serve - When drawn, your cards have +5 Power until played. 				
		Poodle	Common	8	66	8.3						
		Rottweiler	Common	10	93	9.3						
		Border Collie	Common	3	15	5.0		 Workaholic - When returned to your deck, receive +3 Energy. 				
		Greyhound	Rare	8	64	8.0	Fusion Ingredient	 Anubis' Protection - When played, if losing the round, this card has +20 Power. 				
		Golden Retriever	Fusion	6	68	11.3		 All-Rounder - When drawn, you and your Opponent receive +5 Energy. 				
		French Bulldog	Common	4	19	4.8						
		Shiba Inu	Common	8	57	7.1		 Internet Famous - While in your hand, this card generates +4 Power/Turn.        				
	Hybrid Animals	Liger	Fusion	4	30	7.5		Hybrid Power - When played, your <b>Hybrid Animals</b> cards have +30 Power until played. 				
		Bengal Cat	Rare	2	10	5.0	Fusion Ingredient	Cross Breed - When played with Mule, give it +30 Power.        				
		Mule	Rare	8	63	7.9	Fusion Ingredient	Cross Breed - When played with Zorse, give it +30 Power.        				
		Zorse	Rare	7	55	7.9	Fusion Ingredient	Cross Breed - When played with Bengal Cat, give it +30 Power. 				
	Life on Land Holiday Specials	Robin	Epic	7	64	9.1	Limited Card					
		French Hen	Epic	10	83	8.3	Limited Card					
		Reindeer	Epic	6	55	9.2	Limited Card					
	Life on Land Mythic Cards	Bigfoot	Mythic	4	47	11.8		Missing Link? - When played, your Primate cards have +50 Power until played. 				
	Life on Land Special Fusions	Mountain Goat	Fusion	8	20	2.5		THE G.O.A.T - When played, you have +40 Power per turn for the rest of the Round.  				
		Arctic Fox	Fusion	6	69	11.5		Winter Withstander - When played with Blizzard, give that card +80 Power.				
	Mammals	Coati	Common	7	52	7.4						
		Tayra	Common	5	45	9.0						
		Capybara	Common	5	34	6.8						
		Amazon Sloth	Common	1	40	40.0		 Low Metabolism - When played, take -1 Energy/Turn until game end. 				
		Giant Armadillo	Common	7	59	8.4						
		Vampire Bat	Rare	1	9	9.0		 Blood Sucker - When played, your Opponent has -5 Power/Turn for the rest of this round. 				
		Tamandua	Common	2	16	8.0	Fusion Ingredient					
		Kinkajou	Common	3	28	9.3						
		Agouti	Common	5	43	8.6						
		Tapir	Rare	10	76	7.6		 Sixth Sense (Sorta) - When drawn, your cards have +10 Power this turn.        				
		Brown Bear	Legendary	4	42	10.5	Fusion Ingredient	Bear-Faced Cheek - When returned to your deck, if you are winning the round, gain +4 Energy. 				
		Okapi	Epic	7	58	8.3		 Elusive - When played, your Opponent's cards have -10 Power this turn. 				
		Giant Anteater	Common	8	52	6.5	Fusion Ingredient					
		Peccary Hog	Common	9	58	6.4		 Hog Wild - When drawn, gain +3 Energy.        				
		Grizzly Bear	Fusion	5	30	6.0		Grizzled Veteran - When played, if you are winning the round, this card has +50 Power. 				
		Hippopotamus	Epic	5	46	9.2	Limited Card	Unwarranted Aggression - When drawn, give your Opponent -15 Power per turn for the rest of the Round.				
	Marsupials	Red Kangaroo	Common	6	43	7.2	Limited Card	How Roo-de! - When played, if you lose the turn, steal 1 Energy from your Opponent.        				
		Wallaby	Rare	6	48	8.0	Limited Card	Wallaby Wobbly - When played, if you lose the turn, your Opponent's cards have -10 Power next turn.        				
		Koala	Legendary	4	29	7.3	Limited Card	Eucalyp-toss! - When played, your Opponent's cards have -20 Power this turn. 				
		Numbat	Common	2	17	8.5	Limited Card	Bug Feast - When drawn, your Bugs cards have -20 Power. 				
		Brushtail Possum	Common	2	29	14.5	Limited Card					
		Quokka	Epic	2	17	8.5	Limited Card	Quokka'n Awe! - When drawn, gain +25 Power for this turn.				
		Eastern Grey Kangaroo	Common	5	32	6.4	Limited Card	Roo-merang! - When returned to your deck, gain +32 Power next turn.				
		Sugar Glider	Common	3	35	11.7	Limited Card	Sugar Snap - When played, all cards have -10 power this turn.				
		Tasmanian Devil	Legendary	5	89	17.8	Limited Card	[Incoherent Slobbering] - When drawn, give a random card in your hand -25 Power for the rest of this round.				
		Fat-Tailed Dunnart	Common	10	66	6.6	Limited Card					
		Quoll	Common	1	8	8.0	Limited Card					
	Plant Life	Petunia	Legendary	4	42	10.5	Level-Up Reward	Oh No, Not Again... - When played with Sperm Whale give that card +70 Power. 				
		Pentas	Rare	5	30	6.0	Fusion Ingredient	High Five - When drawn, your cards have +5 Power until played.				
	Primates	Spectral Tarsier	Common	9	64	7.1	Limited Card					
		Mandrill	Rare	6	51	8.5	Limited Card	Drill Down - When played, if you win this turn, your Opponent has -1 Energy/Turn for the rest of the round. 				
		White-Faced Saki Monkey	Rare	5	37	7.4	Limited Card	Monkey Buisness - When played, if you win this turn, your Opponent has -20 Power next turn. 				
		Gibbon	Common	5	22	4.4	Limited Card	Leaps and Bounds - When played, your Primates cards have +12 Power this turn. 				
		Red Titi Monkey	Common	4	36	9.0	Limited Card					
		Colobus Monkey	Common	8	52	6.5	Limited Card					
		Howler Monkey	Common	4	28	7.0	Limited Card					
		Mother Orangutan	Legendary	6	45	7.5	Limited Card	Mother Knows Best - When played, if you lose the turn, you have +45 Power next turn. 				
		Baboon	Epic	5	18	3.6	Limited Card	It's a 'Boon! - When drawn, your cards have +15 Power until played. 				
		Silverback Gorilla	Legendary	7	77	11.0	Limited Card	Silver Medal - When returned to your deck, reduce the cost of the remaining cards in your hand by 2 if you lost this turn.				
		Slow Loris	Common	1	9	9.0	Limited Card					
		Japanese Snow Monkey	Common	4	35	8.8	Limited Card	Hot Springs Eternal - When played with Geothermal Energy, give it +35 Power.				
		Celebes Crested Macaque	Rare	3	28	9.3	Limited Card	Copyright Dispute - When played, if you are losing the round, your Life on Land cards have +20 Power this turn.				
	Reptiles	Bushmaster	Common	2	14	7.0		 Multi-Bite Strike - When played, your Opponent has -4 Power/Turn until the end of this round.				
		Caiman Lizard	Common	9	63	7.0						
		Jackson's Chameleon	Rare	7	30	4.3	Limited Card	Tri-Hard - When played if you are losing the round, it has triple its basic Power (+60 Power).				
		Veiled Chameleon	Common	9	67	7.4						
		Komodo Dragon	Common	2	18	9.0						
		Mwanza Flat-Headed Rock Agama	Epic	7	66	9.4	Fusion Ingredient	 With Great Power... - When played, if you lose this turn, receive -4 Energy next turn.        				
		Alligator Snapping Turtle	Rare	4	14	3.5	Limited Card	Turtle Power! - When played, your Reptiles cards have +20 Power this turn. 				
		Leopard Gecko	Common	3	37	12.3						
		Softshell Turtle	Common	1	8	8.0						
		Panther Chameleon	Common	5	37	7.4	Fusion Ingredient	 Double Vision - When played, your Life on Land cards have +5 Power this turn and next turn.        				
		Green Iguana	Legendary	4	41	10.3	Fusion Ingredient	 Break the Fall - When played, if you lose this turn, your cards have +10 power next turn. 				
		King Cobra	Rare	6	8	1.3		 Venom Strike - When played, your opponent loses -1 Energy/Turn until game end. 				
		Galapagos Land Iguana	Epic	2	18	9.0	Limited Card	Avian Symbiosis - When played, your Seabirds cards have +25 Power this turn. 				
		Emerald Tree Boa	Fusion	9	85	9.4		 Strike from Above - When played, if you win this turn, your Opponent's cards have -20 Power next turn. 				
	Venomous Creatures	Black Widow	Common	4	29	7.3	Limited Card	 Female of the Species - When played, if you win this turn, get +10 Power next turn. 				
		Cone Snail	Rare	4	0	0.0	Limited Card	 Venom Harpoon - When played, your Opponent's cards have -15 Power this turn. 				
		Stonefish	Common	9	64	7.1	Limited Card					
		Sea Wasp	Common	8	53	6.6	Limited Card					
		Africanised Honey Bee	Common	10	72	7.2	Limited Card					
		Duck-Billed Platypus	Epic	6	40	6.7	Limited Card	 Curative Poison? - When drawn, gain +2 Energy. 				
		Wasp	Common	2	19	9.5	Limited Card					
		Brown Recluse	Common	4	38	9.5	Limited Card	Necrotic Venom - When played, if you lose the turn, steal 2 Energy from your opponent. 				
		Deathstalker	Common	5	35	7.0	Limited Card	The Scorpion King - When drawn, your Ancient Egypt cards cost 2 less Energy until played. 				
		Blue Poison Dart Frog	Legendary	3	30	10.0	Limited Card	Why So Blue - When played, your Oceans and Seas cards have +30 Power this turn.        				
		Hooded Pitohui	Common	3	60	20.0	Limited Card	Under the Hood - When played, your Life on Landcards have -30 power this turn. 				
History	Ancient Egypt	The Pyramids	Legendary	3	33	11.0						
		The Sphinx	Epic	3	26	8.7		 Riddle of the Sphinx - When played, all Ancient Egypt cards have +15 Power this turn.        				
		Sekhmet	Common	5	36	7.2	Fusion Ingredient	Power of the Gods - When played with Ra, give it +20 Power. 				
		Egyptian Cats	Common	10	71	7.1						
		Mummies	Common	3	27	9.0						
		Abu Simbel	Common	7	51	7.3						
		Tutankahmun	Fusion	7	72	10.3		Curse of the Pharaohs - When played with Ramesses II, give it +50 Power. 				
		Ramesses II	Common	4	25	6.3		 Look Upon My Works - When played, your Ancient Egypt cards have +10 Power this turn. 				
		Karnak	Rare	8	58	7.3						
		Kom Ombo Temple	Common	2	18	9.0						
		Obelisks	Common	1	9	9.0						
		Osiris	Rare	4	31	7.8	Fusion Ingredient	Power of the Gods - When played with Sekhmet, give it +20 Power. 				
		Ra	Rare	6	44	7.3	Fusion Ingredient	Power of the Gods - When played with Osiris, give it +20 Power.        				
		Colossi of Memnon	Rare	5	40	8.0	Limited Card	Guardian of the Necropolis - When drawn, gain +3 Energy next turn. 				
		Djeser-Djeseru	Epic	6	35	5.8	Limited Card	Holy of Holies - When played, your Ancient Egypt cards have +20 Power this turn. 				
		Rosetta Stone	Rare	7	65	9.3	Fusion Ingredient	Lost in Translation - When played, if you lose the turn, get +20 Power next turn. 				
	Ancient Greece	Isle of Corfu	Common	10	70	7.0						
		Mount Olympus	Rare	4	29	7.3	Fusion Ingredient	 Realm of the Gods - When played, if you win the turn, your Ancient Greece cards have +10 Power next turn. 				
		Parthenon	Epic	9	79	8.8	Fusion Ingredient	 Power of the Pantheon - When played, if you lose the turn, your Ancient Greece cards have +10 Power until game end. 				
		Spartan Helmet	Common	5	42	8.4		 No Surrender - When played, if you lose the turn, get +4 Power/Turn until game end. 				
		Theatre of Epidaurus	Common	7	65	9.3						
		Alexander the Great	Legendary	4	28	7.0	Level-Up Reward	 Aristotle's Pupil - When played, get +2 Energy/Turn for the rest of this round. 				
		Greek Urns	Common	4	38	9.5						
		Olive Trees	Common	7	57	8.1						
		Ionic Column	Common	3	28	9.3						
		Athena	Rare	2	14	7.0	Fusion Ingredient	 Wisdom in War - When played, if you are losing the round, this card has +10 Power. 				
		Apollo	Common	7	67	9.6						
		Ancient Olympia	Common	2	18	9.0		 Olympic Spirit - When played, if you win the turn, receive +2 Energy. 				
		Sanctuary of Delphi	Common	5	46	9.2						
		Socrates	Common	4	40	10.0		 Pass Wisdom - When played with Plato, give it +20 Power. 				
		Zeus	Fusion	3	36	12.0		 Thunder Strike - When played with Thunderstorms, give that card +50 Power.        				
		Icarus	Epic	4	36	9.0	Fusion Ingredient	Altitude Sickness - When played, all Awesome Aviation cards have -30 Power this turn. 				
		Heracles	Legendary	2	0	0.0	Limited Card	Zero to Hero - When played on a matching Arena, this card has +60 Power. 				
	Festive Traditions	La Noche de Los Rábanos	Common	6	53	8.8	Limited Card	 Poinsettias in Bloom - When played, your Plant Life cards have +10 power this turn. 				
		Flores de Noche Buena	Rare	6	51	8.5	Limited Card					
		La Befana	Common	8	67	8.4	Limited Card	 Witching Hour - When played, your Opponent's cards have -3 Power this turn. 				
		La Quema del Diablo	Common	2	19	9.5	Limited Card					
		Tio de Nadal	Common	6	46	7.7	Limited Card					
		Norwegian Broom Hiding	Common	3	27	9.0	Limited Card	 Clean Sweep - When played, if you win the turn, gain +15 Power next turn. 				
		The Gävle Goat	Legendary	6	45	7.5	Limited Card	 Arson Got Your Goat? - When played, if you lose the turn, your Opponent loses -2 Energy. 				
		Finnish Cemetery Tradition	Common	2	18	9.0	Limited Card					
		The Legend of Danny	Common	5	41	8.2	Limited Card					
		Caganer	Rare	7	46	6.6	Limited Card	 Not Your Usual Nativity - When drawn, gain +2 Energy. 				
		St. Nicholas's Day	Common	2	17	8.5	Limited Card					
		Mari Lwyd	Epic	10	83	8.3	Limited Card	 Ain't What She Used to Be - When played, your Festive Traditions cards have +15 Power this turn.        				
		Ukranian Spider Decorations	Common	4	36	9.0	Limited Card					
		Christmas Pudding	Common	4	36	9.0	Limited Card					
	Feudal Japan	Samurai	Common	3	37	12.3		 Honor and Respect - When played, if you are winning the round, this card has -10 Power. 				
		Ieyasu Tokugawa	Epic	5	47	9.4		 Shogun's Rule - When played, your Opponent's Feudal Japan cards have -30 Power this turn. 				
		Rice Terraces	Common	2	16	8.0						
		Kabuki Mask	Common	6	53	8.8	Fusion Ingredient					
		Katana	Common	7	62	8.9						
		Date Masamune	Common	3	24	8.0		 One Eyed Dragon - When played, your Opponent has -10 Power. 				
		Shuriken	Common	5	40	8.0	Fusion Ingredient					
		Osaka Castle	Legendary	9	85	9.4	Fusion Ingredient	 Restoration - When returned to your deck, if you are losing the round, get +6 Energy. 				
		Torii Gates	Common	2	16	8.0						
		Buddhism	Common	6	53	8.8						
		Neo-Confucianism	Common	4	33	8.3						
		Meoto Iwa	Common	1	9	9.0						
		Kyoto	Rare	2	15	7.5	Fusion Ingredient	 A Thousand-Year Rule - When drawn, receive +2 Power/Turn until the end of the game. 				
		Kumamoto Castle	Rare	10	75	7.5		 Musha-Gaeshi - When played, your Opponent's cards have -3 Power this turn. 				
		Oda Nobunaga	Fusion	6	110	18.3		 Seppuku - When returned to your deck, you have -3 Energy next turn.        				
	Greek Mythology	Hades	Epic	2	19	9.5	Limited Card	Underworld Connections - When played, you Ancient Greece cards have +28 Power.				
		Aphrodite	Common	4	40	10.0	Limited Card	Feel the Love - When played with Heart Nebula, give that card +30 Power.				
		Poseidon	Common	4	36	9.0	Limited Card	Sea Change - When played, all Oceans and Seas cards in play have -20 Power.				
		Minotaur	Legendary	6	66	11.0	Limited Card	Mess with the Bull... - When this returns to your deck, reduce the cost of this card by 3 for the rest of the game.				
	History Holday Specials	Santa Claus	Epic	8	66	8.3	Limited Card					
		Christmas Trees	Epic	4	39	9.8	Limited Card					
		Mistletoe	Epic	6	58	9.7	Limited Card					
		Easter Island Statues	Fusion	8	77	9.6		GIft of the Moai - When drawn, gain +5 Energy.        				
	History Mythic Cards	El Dorado	Mythic	10	75	7.5		Untold Riches - When played on the first turn of a round, gain +5 Energy/Turn for the rest of the round. 				
		The Ark of the Covenant	Mythic	2	22	11.0		Don't Look At It! - When drawn, give a random card in your hand +70 Power until played.				
	History Special Fusions	Genghis Khan	Fusion	5	55	11.0		Conqueror - When played on a matching Arena, steal 5 Energy from your opponent.				
	Legends of the Old West	Billy the Kid	Common	8	66	8.3	Fusion Ingredient	Billy Idle - While this card is in your hand, you have +10 Power/Turn. 				
		Calamity Jane	Common	5	92	18.4		I Can Do Without You - When played, your cards have -40 Power this turn. 				
		Goyahkla	Rare	3	29	9.7		Geronimo! - When drawn, this card costs 1 less Energy this turn.				
		Annie Oakley	Epic	8	71	8.9		Oakley Dokey - When drawn, your Legends of the Old West cards cost 2 less Energy until played. 				
		Jesse James	Common	7	62	8.9	Fusion Ingredient					
		Doc Holliday	Common	6	52	8.7		O.K. Corral Pals - When played with Wyatt Earp, give it +25 Power. 				
		Joaquin Murrieta	Common	8	79	9.9		Robin Hood of the West - When returned to your deck, if you are losing the round, steal 2 Energy from your opponent.				
		Pearl Hart	Common	4	35	8.8	Fusion Ingredient					
		Elmer McCurdy	Common	3	24	8.0						
		Sitting Bull	Legendary	4	30	7.5		Raging Bull - When played, if you lose the turn, cards left in your hand have +25 Power next turn.        				
		Wyatt Earp	Common	3	26	8.7		O.K. Corral Pals - When played with Doc Holiday, give it +25 Power. 				
		Mary Fields	Epic	6	50	8.3		You've Got Mail - When returned to your deck, give Paper +30 Power for the rest of the game.				
		Butch Cassidy	Rare	4	5	1.3	Fusion Ingredient	Wild Bunch - When played, your Legend of the Old West cards have +25 Power this turn. 				
		Wild Bill Hickok	Fusion	4	49	12.3		Dead Man's Hand - When played with <b>Playing Cards</b>, give that card +50 Power. 				
	Mad Monarchs	Ivan the Terrible	Rare	4	5	1.3	Limited Card	 Tsar Wars - When played, your Mad Monarch cards have +40 Power this turn. 				
		Charles VI of France	Common	1	16	16.0	Limited Card	 Glass Cannon - When played, you have -2 Energy next turn. 				
		George III	Common	5	47	9.4	Limited Card					
		Ludwig II of Bavaria	Rare	4	25	6.3	Limited Card	 Build More Castles - When played, all Super Structure cards get +5 Power until game end. 				
		Henry VIII	Epic	6	56	9.3	Limited Card	 Mad in England - When played with George III, give it +10 Power. 				
		Caligula	Legendary	3	27	9.0	Limited Card	 Roman Reigns - When played, all Roman Empire cards have +15 Power until game end. 				
		Rudolf II, Holy Roman Emperor	Rare	4	34	8.5	Limited Card	Alchemy - When played, your Excellent Elements cards have +10 Power this turn. 				
		Mary Queen of Scots	Epic	4	43	10.8	Limited Card	Quite Contrary - When returned to your deck, all remaining cards in both players' hands cost 2 more Energy until the end of the round.				
	Norse Gods	Loki	Legendary	5	35	7.0	Limited Card	Mischief Maker - When returned to your deck, your Opponent's cards cost 3 more Energy next turn. 				
		Freya	Common	2	25	12.5	Limited Card	Peace - When played, all cards have -25 Power this turn. 				
		Thor	Legendary	5	48	9.6	Limited Card	God of Thunder - When played, Thunderstorm cards gain +30 Power until played. 				
